Time(s),Theta_MATLAB,Omega_MATLAB,Theta_CPP,Omega_CPP,Theta_IKF,Omega_IKF,CycleTime_us
0.266000,1.364519,1.717468,1.073488,3.363711,1.364519,1.716873,14.000000
0.267000,1.366238,1.719904,1.076856,3.370608,1.366238,1.719310,10.000000
0.268000,1.367959,1.722320,1.080230,3.377462,1.367959,1.721726,7.000000
0.269000,1.369683,1.724716,1.083612,3.384272,1.369682,1.724121,7.000000
0.270000,1.371409,1.727092,1.087000,3.391039,1.371408,1.726497,13.000000
0.271000,1.373137,1.729447,1.090394,3.397762,1.373137,1.728853,56.000000
0.272000,1.374867,1.731782,1.093796,3.404440,1.374867,1.731188,17.000000
0.273000,1.376600,1.734097,1.097204,3.411074,1.376600,1.733502,10.000000
0.274000,1.378336,1.736392,1.100619,3.417664,1.378335,1.735797,10.000000
0.275000,1.380073,1.738666,1.104040,3.424210,1.380073,1.738071,10.000000
0.276000,1.381813,1.740919,1.107468,3.430710,1.381813,1.740325,10.000000
0.277000,1.383555,1.743153,1.110902,3.437166,1.383555,1.742558,10.000000
0.278000,1.385299,1.745365,1.114343,3.443577,1.385299,1.744771,10.000000
0.279000,1.387046,1.747558,1.117790,3.449943,1.387045,1.746963,10.000000
0.280000,1.388794,1.749729,1.121243,3.456263,1.388794,1.749135,10.000000
0.281000,1.390545,1.751880,1.124703,3.462538,1.390545,1.751286,10.000000
0.282000,1.392298,1.754011,1.128169,3.468767,1.392298,1.753416,61.000000
0.283000,1.394053,1.756121,1.131641,3.474951,1.394053,1.755526,11.000000
0.284000,1.395810,1.758210,1.135119,3.481089,1.395810,1.757615,11.000000
0.285000,1.397570,1.760278,1.138604,3.487180,1.397569,1.759684,11.000000
0.286000,1.399331,1.762326,1.142094,3.493226,1.399331,1.761732,11.000000
0.287000,1.401094,1.764353,1.145591,3.499225,1.401094,1.763759,34.000000
0.288000,1.402860,1.766359,1.149093,3.505177,1.402859,1.765765,15.000000
0.289000,1.404627,1.768345,1.152602,3.511083,1.404627,1.767750,143.000000
0.290000,1.406396,1.770309,1.156116,3.516942,1.406396,1.769715,16.000000
0.291000,1.408168,1.772253,1.159636,3.522755,1.408167,1.771659,11.000000
0.292000,1.409941,1.774176,1.163162,3.528520,1.409940,1.773582,12.000000
0.293000,1.411716,1.776078,1.166694,3.534238,1.411716,1.775483,11.000000
0.294000,1.413493,1.777959,1.170231,3.539909,1.413493,1.777364,116.000000
0.295000,1.415272,1.779818,1.173774,3.545532,1.415271,1.779224,14.000000
0.296000,1.417053,1.781657,1.177323,3.551107,1.417052,1.781063,11.000000
0.297000,1.418835,1.783475,1.180877,3.556635,1.418835,1.782881,13.000000
0.298000,1.420619,1.785272,1.184436,3.562115,1.420619,1.784678,10.000000
0.299000,1.422406,1.787048,1.188002,3.567547,1.422405,1.786454,10.000000
0.300000,1.424194,1.788802,1.191572,3.572931,1.424193,1.788208,11.000000
0.301000,1.425983,1.790536,1.195148,3.578266,1.425983,1.789942,10.000000
0.302000,1.427775,1.792248,1.198729,3.583553,1.427774,1.791654,83.000000
0.303000,1.429568,1.793939,1.202316,3.588792,1.429567,1.793345,16.000000
0.304000,1.431362,1.795609,1.205907,3.593981,1.431362,1.795015,11.000000
0.305000,1.433159,1.797257,1.209504,3.599122,1.433159,1.796664,302.000000
0.306000,1.434957,1.798885,1.213106,3.604214,1.434957,1.798291,47635.000000
0.307000,1.436757,1.800491,1.216713,3.609257,1.436756,1.799897,12.000000
0.308000,1.438558,1.802076,1.220325,3.614251,1.438558,1.801482,10.000000
0.309000,1.440361,1.803639,1.223942,3.619195,1.440361,1.803046,10.000000
0.310000,1.442165,1.805181,1.227564,3.624090,1.442165,1.804588,12.000000
0.311000,1.443971,1.806702,1.231191,3.628935,1.443971,1.806108,10.000000
0.312000,1.445779,1.808201,1.234822,3.633731,1.445778,1.807608,11.000000
0.313000,1.447588,1.809679,1.238459,3.638477,1.447587,1.809086,11.000000
0.314000,1.449398,1.811135,1.242100,3.643172,1.449398,1.810542,16.000000
0.315000,1.451210,1.812570,1.245745,3.647818,1.451210,1.811977,10.000000
0.316000,1.453023,1.813983,1.249396,3.652414,1.453023,1.813390,11.000000
0.317000,1.454838,1.815375,1.253051,3.656959,1.454838,1.814782,10.000000
0.318000,1.456654,1.816745,1.256710,3.661454,1.456654,1.816153,10.000000
0.319000,1.458471,1.818094,1.260374,3.665898,1.458471,1.817502,9.000000
0.320000,1.460290,1.819421,1.264042,3.670292,1.460290,1.818829,32.000000
0.321000,1.462110,1.820727,1.267715,3.674634,1.462110,1.820135,12.000000
0.322000,1.463932,1.822011,1.271392,3.678926,1.463931,1.821419,15.000000
0.323000,1.465754,1.823273,1.275073,3.683167,1.465754,1.822681,10.000000
0.324000,1.467578,1.824514,1.278759,3.687357,1.467578,1.823922,11.000000
0.325000,1.469403,1.825733,1.282448,3.691496,1.469403,1.825141,11.000000
0.326000,1.471230,1.826930,1.286142,3.695583,1.471229,1.826339,11.000000
0.327000,1.473057,1.828106,1.289840,3.699619,1.473057,1.827514,11.000000
0.328000,1.474886,1.829260,1.293542,3.703603,1.474885,1.828668,10.000000
0.329000,1.476716,1.830392,1.297247,3.707536,1.476715,1.829801,11.000000
0.330000,1.478546,1.831503,1.300957,3.711417,1.478546,1.830911,12.000000
0.331000,1.480379,1.832591,1.304671,3.715246,1.480378,1.832000,11.000000
0.332000,1.482212,1.833658,1.308388,3.719024,1.482211,1.833067,11.000000
0.333000,1.484046,1.834703,1.312109,3.722749,1.484046,1.834112,14.000000
0.334000,1.485881,1.835726,1.315834,3.726422,1.485881,1.835135,14.000000
0.335000,1.487717,1.836728,1.319562,3.730043,1.487717,1.836137,14.000000
0.336000,1.489555,1.837707,1.323294,3.733611,1.489554,1.837117,11.000000
0.337000,1.491393,1.838665,1.327030,3.737127,1.491392,1.838074,13.000000
0.338000,1.493232,1.839601,1.330769,3.740591,1.493232,1.839010,12.000000
